No,ID,Bölüm,Üniversite,Yıl,Puan Türü,Açıklama,İl,Tür,Sıralama (2024),Sıralama (2023),Sıralama (2022),Sıralama (2021),Sıralama (2020),Sıralama (2019),Sıralama (2018),Sıralama (2017),Sıralama (2016),Sıralama (2015),Kontenjan (2024),Kontenjan (2023),Kontenjan (2022),Kontenjan (2021),Kontenjan (2020),Kontenjan (2019),Kontenjan (2018),Kontenjan (2017),Kontenjan (2016),Kontenjan (2015),Toplam Tercih (2023),Toplam Tercih (2022),Toplam Tercih (2021),Toplam Tercih (2020),"Yerleşen (E, 2023)","Yerleşen (K, 2023)","Yerleşen (Mzn, 2023)","Yerleşen (E, 2022)","Yerleşen (K, 2022)","Yerleşen (Mzn, 2022)","Yerleşen (E, 2021)","Yerleşen (K, 2021)","Yerleşen (Mzn, 2021)"
1,203910699,Tıp,KOÇ ÜNİVERSİTESİ,6,SAYISAL,(İngilizce) (Burslu),İSTANBUL,VAKIF,45,43,75,92,48,108,84,48,69,84,6,7,8,8,14,14,15,15,15,15,523,453,399,516,6,3,0,3,5,0,8,0,0
2,203110477,Tıp,İSTANBUL MEDİPOL ÜNİVERSİTESİ,6,SAYISAL,(İngilizce) (Burslu),İSTANBUL,VAKIF,50,30,70,51,37,77,56,134,3526,4193,10,10,10,10,10,10,10,10,10,10,269,253,254,261,3,7,0,6,4,0,7,3,0
3,203910275,Ekonomi,KOÇ ÜNİVERSİTESİ,4,EŞİT AĞIRLIK,(İngilizce) (Burslu),İSTANBUL,VAKIF,104,82,200,95,267,171,181,562,324,564,16,16,19,16,16,12,11,11,14,14,725,575,502,478,15,5,1,15,4,3,11,5,1
4,203910363,Bilgisayar Mühendisliği,KOÇ ÜNİVERSİTESİ,4,SAYISAL,(İngilizce) (Burslu),İSTANBUL,VAKIF,141,98,156,221,398,281,207,244,949,603,15,16,16,15,15,9,8,7,10,6,1300,1359,1,989,18,1,1,14,2,0,12,3,0
5,200110071,Tıp,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,6,SAYISAL,(İngilizce) (Burslu),İSTANBUL,VAKIF,214,71,357,320,178,320,511,730,1960,2779,5,6,40,40,20,20,30,30,35,40,316,299,302,321,5,2,0,21,19,2,26,14,0
6,205110144,Yönetim Bilimleri Programları,SABANCI ÜNİVERSİTESİ,4,EŞİT AĞIRLIK,(İngilizce) (Burslu),İSTANBUL,VAKIF,260,330,524,397,563,776,769,2054,2148,2998,27,27,30,30,24,15,14,15,14,15,780,667,581,602,18,13,8,22,8,8,22,8,7
7,203910309,İşletme,KOÇ ÜNİVERSİTESİ,4,EŞİT AĞIRLIK,(İngilizce) (Burslu),İSTANBUL,VAKIF,278,172,286,328,584,237,283,614,731,1449,21,21,24,21,21,14,14,13,14,14,789,756,663,667,19,6,2,17,7,3,19,2,2
8,202110408,Bilgisayar Mühendisliği,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,4,SAYISAL,(İngilizce) (Burslu),ANKARA,VAKIF,292,242,350,432,603,722,916,1208,1794,1775,42,42,45,45,45,45,50,50,50,50,1531,1545,1,1296,34,12,4,33,12,0,38,7,0
9,202111106,Hukuk,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,4,EŞİT AĞIRLIK,(Burslu),ANKARA,VAKIF,310,271,329,359,251,125,142,150,156,151,21,21,24,24,24,16,20,20,20,20,640,682,488,571,15,10,2,12,12,6,8,16,2
10,202110205,İktisat,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,4,EŞİT AĞIRLIK,(İngilizce) (Burslu),ANKARA,VAKIF,315,477,970,1002,802,826,1010,4968,2771,3781,18,18,21,21,21,14,20,20,20,20,835,646,448,493,17,5,4,13,8,3,14,7,7
